agent_id,current_link,current_link_enter_time,current_time,link_geometry,agent_position,duration
1000003,5841,3762.0,4200,"LINESTRING(-122.8620082 38.105654, -122.8618114 38.1052691)",POINT (-122.8619098 38.10546155),3.0
1000016,9376,3762.0,4200,"LINESTRING(-122.856108 38.0985144, -122.855656 38.0986514)",POINT (-122.855882 38.0985829),4.0
1000023,21597,3762.0,4200,"LINESTRING(-122.8548368 38.0981257, -122.8541003 38.0985701)",POINT (-122.85446855 38.0983479),7.0
1000004,16287,3764.0,4200,"LINESTRING(-122.8758352 38.1112101, -122.875134 38.111247)",POINT (-122.8754846 38.11122855),5.0
1000012,31211,3758.0,4200,"LINESTRING(-122.858428 38.099598, -122.857781 38.098373)",POINT (-122.8581045 38.0989855),12.0
1000005,18997,3765.0,4200,"LINESTRING(-122.860098 38.09812, -122.859316 38.098303)",POINT (-122.859707 38.09821150000001),6.0
1000019,39150,3730.0,4200,"LINESTRING(-122.8563104 38.1009793, -122.8560768 38.1009078, -122.8558378 38.1008055, -122.8556415 38.1006992, -122.8554755 38.1005811, -122.8553933 38.1004762, -122.8552289 38.1002403, -122.8551004 38.1000946, -122.854971 38.099953, -122.8546812 38.0997587, -122.854455 38.0996231, -122.8542077 38.0995005, -122.853897 38.0993014, -122.8537067 38.0991415, -122.853559 38.0989859, -122.8528787 38.0982167, -122.8521974 38.0974296)",POINT (-122.8541520655986 38.09934709051976),41.0
1000017,29786,3762.0,4200,"LINESTRING(-122.8541003 38.0985701, -122.853795 38.0982095, -122.85355 38.0981645, -122.8537173 38.0977276)",POINT (-122.8537665193649 38.0981727866862),11.0
1000009,29799,3762.0,4200,"LINESTRING(-122.8716304 38.110873, -122.8715931 38.1107333, -122.8703214 38.1104179)",POINT (-122.87102230034 38.11059821605024),11.0
1000016,24175,3766.0,4200,"LINESTRING(-122.855656 38.0986514, -122.8548368 38.0981257)",POINT (-122.8552464 38.09838855),7.0
1000019,3255,3771.0,4200,"LINESTRING(-122.8521974 38.0974296, -122.85204995 38.097194349999995)",POINT (-122.852123675 38.097311975),2.0
1000013,39646,3701.0,4200,"LINESTRING(-122.881455 38.1080438, -122.8808623 38.1079152, -122.880748 38.10789, -122.879821 38.1076536, -122.8794195 38.107577, -122.8791007 38.1075729, -122.878854 38.1075881, -122.8785555 38.1076559, -122.878292 38.1077979, -122.87807 38.1079213, -122.8778013 38.1080129, -122.8774918 38.1080758, -122.8771439 38.1081313, -122.8769022 38.1082204, -122.8767402 38.1083418, -122.8764699 38.1085337, -122.8764167 38.1085679, -122.8763343 38.1086094, -122.876257 38.1086226, -122.8761855 38.1086132, -122.8760746 38.1085807, -122.8759482 38.1085117, -122.8758258 38.1084511, -122.8756653 38.1084247, -122.8753465 38.108364, -122.8750667 38.108332, -122.8746496 38.1083458, -122.8741894 38.1083842, -122.8737677 38.1084166, -122.873346 38.1085319, -122.8729834 38.1086371, -122.8726989 38.1086887, -122.8723034 38.1086958, -122.8720591 38.1087059, -122.8718181 38.1087742, -122.8714227 38.1089765, -122.871209 38.1090339, -122.8706095 38.1091485, -122.8699377 38.1093107, -122.8691477 38.1093932)",POINT (-122.8753251264002 38.10839414877069),74.0
1000001,39802,3698.0,4200,"LINESTRING(-122.85161065 38.096499300000005, -122.8513899 38.0961623, -122.8511754 38.0958616, -122.8510196 38.0956989, -122.8508357 38.0955221, -122.850559 38.095243, -122.8501608 38.0949684, -122.8496306 38.0946238, -122.8494182 38.0944757, -122.8492222 38.094339, -122.8489728 38.0942075, -122.848582 38.0940395, -122.8480154 38.093838, -122.8476254 38.0936348, -122.847358 38.0934021, -122.84698 38.0930682, -122.8466111 38.0927071, -122.8464986 38.092574, -122.8462575 38.0922647, -122.8460971 38.0920118, -122.846008 38.0918377, -122.8459117 38.09165, -122.8457627 38.0914299, -122.8456635 38.0912792, -122.8454629 38.0910849, -122.8452546 38.0909311, -122.8447275 38.0906599, -122.84436 38.0904264, -122.8441824 38.090239, -122.8439058 38.0898131)",POINT (-122.8476971827679 38.09321438497702),77.0
1000015,29367,3765.0,4200,"LINESTRING(-122.8703214 38.1104179, -122.8687915 38.110736349999996)",POINT (-122.86955645 38.110577125),10.0
1000011,30952,3764.0,4200,"LINESTRING(-122.8667429 38.1068973, -122.866476 38.1070026, -122.8658292 38.1070795, -122.8658122 38.1072059, -122.8659997 38.1076287)",POINT (-122.8661360274505 38.10714629289323),11.0
1000014,37752,3750.0,4200,"LINESTRING(-122.8657172 38.0997809, -122.8655231 38.0998114, -122.8652391 38.0998002, -122.8620711 38.1006177)",POINT (-122.8638887218532 38.10015680016027),26.0
1000004,23737,3769.0,4200,"LINESTRING(-122.875134 38.111247, -122.874565 38.111231, -122.8741321 38.1110918)",POINT (-122.8746270322995 38.11120453848974),7.0
